gameid,team,player,champion,win_loss
112966669924194778,T1,Faker,Yone,Win
112966669924194778,T1,Gumayusi,Draven,Win
112966669924194778,T1,Keria,Renata,Win
112966669924194778,PNG,Wizer,Olaf,Loss
112966669924194778,PNG,CarioK,Sejuani,Loss
112966669924194778,PNG,dyNquedo,Akali,Loss
112966669924194778,PNG,TitaN,Kalista,Loss
112966669924194778,PNG,Kuri,Neeko,Loss
112966669924194772,DK,Kingen,Yone,Win
112966669924194772,DK,Lucid,Vi,Win
112966669924194772,DK,ShowMaker,Sylas,Win
112966669924194772,DK,Aiming,Smolder,Win
112966669924194772,DK,Moham,Rell,Win
112966669924194772,FLY,Bwipo,Darius,Loss
112966669924194772,FLY,Inspired,Amumu,Loss
112966669924194772,FLY,Quad,Syndra,Loss
112966669924194772,FLY,Massu,Ashe,Loss
112966669924194772,FLY,Busio,Leona,Loss
112966669924194784,FNC,Oscarinin,Gnar,Win
112966669924194784,FNC,Razork,JarvanIV,Win
112966669924194784,FNC,Humanoid,Yone,Win
112966669924194784,FNC,Noah,Ziggs,Win
112966669924194784,FNC,Jun,Leona,Win
112966669924194784,GAM,Kiaya,Jax,Loss
112966669924194784,GAM,Levi,Zyra,Loss
112966669924194784,GAM,Emo,Smolder,Loss
112966669924194784,GAM,Easylove,Kaisa,Loss
112966669924194784,GAM,Elio,Rell,Loss
112966669924194780,PSG,Azhi,Rumble,Win
112966669924194780,PSG,JunJia,Maokai,Win
112966669924194780,PSG,Maple,Yone,Win
112966669924194780,PSG,Betty,Kaisa,Win
112966669924194780,PSG,Woody,Rell,Win
112966669924194780,MDK,Myrwn,Galio,Loss
112966669924194780,MDK,Elyoya,Vi,Loss
112966669924194780,MDK,Fresskowy,Smolder,Loss
112966669924194780,MDK,Supa,Ziggs,Loss
112966669924194780,MDK,Alvaro,Alistar,Loss
112966669924194790,DK,Kingen,Olaf,Loss
112966669924194790,DK,Lucid,Maokai,Loss
112966669924194790,DK,ShowMaker,Smolder,Loss
112966669924194790,DK,Aiming,Ziggs,Loss
112966669924194790,DK,Moham,Alistar,Loss
112966669924194790,LNG,Zika,Renekton,Win
112966669924194790,LNG,Weiwei,Vi,Win
112966669924194790,LNG,Scout,Sylas,Win
112966669924194790,LNG,GALA,Kaisa,Win
112966669924194790,LNG,Hang,Rell,Win
112966669924194791,DK,Kingen,KSante,Loss
112966669924194791,DK,Lucid,Vi,Loss
112966669924194791,DK,ShowMaker,Ahri,Loss
112966669924194791,DK,Aiming,Ziggs,Loss
112966669924194791,DK,Moham,Poppy,Loss
112966669924194791,LNG,Zika,Camille,Win
112966669924194791,LNG,Weiwei,Sejuani,Win
112966669924194791,LNG,Scout,Galio,Win
112966669924194791,LNG,GALA,Kaisa,Win
112966669924194791,LNG,Hang,Rell,Win
112966669924194786,HLE,Doran,Gnar,Win
112966669924194786,HLE,Peanut,Sejuani,Win
112966669924194786,HLE,Zeka,Yone,Win
112966669924194786,HLE,Viper,Kaisa,Win
112966669924194786,HLE,Delight,Rell,Win
112966669924194786,GEN,Kiin,Aurora,Loss
112966669924194786,GEN,Canyon,Nocturne,Loss
112966669924194786,GEN,Chovy,Ahri,Loss
112966669924194786,GEN,Peyz,Varus,Loss
112966669924194786,GEN,Lehends,Renata,Loss
112966669924194787,GEN,Kiin,Aurora,Win
112966669924194787,GEN,Canyon,Nocturne,Win
112966669924194787,GEN,Chovy,Ahri,Win
112966669924194787,GEN,Peyz,Kalista,Win
112966669924194787,GEN,Lehends,Leona,Win
112966669924194787,HLE,Doran,Rumble,Loss
112966669924194787,HLE,Peanut,Vi,Loss
112966669924194787,HLE,Zeka,Akali,Loss
112966669924194787,HLE,Viper,Jhin,Loss
112966669924194787,HLE,Delight,Rell,Loss
112966669924194788,HLE,Doran,Gnar,Loss
112966669924194788,HLE,Peanut,Sejuani,Loss
112966669924194788,HLE,Zeka,Smolder,Loss
112966669924194788,HLE,Viper,Varus,Loss
112966669924194788,HLE,Delight,Renata,Loss
112966669924194788,GEN,Kiin,Aurora,Win
112966669924194788,GEN,Canyon,Nocturne,Win
112966669924194788,GEN,Chovy,Ahri,Win
112966669924194788,GEN,Peyz,Twitch,Win
112966669924194788,GEN,Lehends,Leona,Win
112966669924194798,TES,369,Rumble,Win
112966669924194798,TES,Tian,Sejuani,Win
112966669924194798,TES,Creme,Yone,Win
112966669924194798,TES,JackeyLove,MissFortune,Win
112966669924194798,TES,Meiko,Rell,Win
112966669924194798,FNC,Oscarinin,KSante,Loss
112966669924194798,FNC,Razork,Skarner,Loss
112966669924194798,FNC,Humanoid,Smolder,Loss
112966669924194798,FNC,Noah,Jhin,Loss
112966669924194798,FNC,Jun,Leona,Loss
112966669924194794,BLG,Bin,Jax,Loss
112966669924194794,BLG,Wei,Skarner,Loss
112966669924194794,BLG,knight,Ahri,Loss
112966669924194794,BLG,Elk,Jhin,Loss
112966669924194794,BLG,ON,Poppy,Loss
112966669924194794,T1,Zeus,Gnar,Win
112966669924194794,T1,Oner,Vi,Win
112966669924194794,T1,Faker,Sylas,Win
112966669924194794,T1,Gumayusi,Kalista,Win
112966669924194794,T1,Keria,Neeko,Win
112966669924194796,FLY,Bwipo,Renekton,Win
112966669924194796,FLY,Inspired,Ivern,Win
112966669924194796,FLY,Quad,Cassiopeia,Win
112966669924194796,FLY,Massu,Kaisa,Win
112966669924194796,FLY,Busio,Leona,Win
112966669924194796,PSG,Azhi,Gnar,Loss
112966669924194796,PSG,JunJia,Vi,Loss
112966669924194796,PSG,Maple,Ahri,Loss
112966669924194796,PSG,Betty,Jhin,Loss
112966669924194796,PSG,Woody,Rell,Loss
112966669924194800,G2,BrokenBlade,Galio,Win
112966669924194800,G2,Yike,Nocturne,Win
112966669924194800,G2,Caps,Orianna,Win
112966669924194800,G2,Hans Sama,Kalista,Win
112966669924194800,G2,Mikyx,Rell,Win
112966669924194800,WBG,Breathe,Rumble,Loss
112966669924194800,WBG,Tarzan,Maokai,Loss
112966669924194800,WBG,Xiaohu,Tristana,Loss
112966669924194800,WBG,Light,Jhin,Loss
112966669924194800,WBG,Crisp,Leona,Loss
112966669924194806,MDK,Myrwn,Gnar,Win
112966669924194806,MDK,Elyoya,Maokai,Win
112966669924194806,MDK,Fresskowy,Yone,Win
112966669924194806,MDK,Supa,Ziggs,Win
112966669924194806,MDK,Alvaro,Nautilus,Win
112966669924194806,GAM,Kiaya,Smolder,Loss
112966669924194806,GAM,Levi,MonkeyKing,Loss
112966669924194806,GAM,Emo,Akali,Loss
112966669924194806,GAM,Easylove,Kaisa,Loss
112966669924194806,GAM,Elio,Rakan,Loss
112966669924194807,GAM,Kiaya,Kennen,Win
112966669924194807,GAM,Levi,MonkeyKing,Win
112966669924194807,GAM,Emo,Yone,Win
112966669924194807,GAM,Easylove,MissFortune,Win
112966669924194807,GAM,Elio,Rell,Win
112966669924194807,MDK,Myrwn,Rumble,Loss
112966669924194807,MDK,Elyoya,Vi,Loss
112966669924194807,MDK,Fresskowy,Ahri,Loss
112966669924194807,MDK,Supa,Xayah,Loss
112966669924194807,MDK,Alvaro,Rakan,Loss
112966669924194808,MDK,Myrwn,Gnar,Loss
112966669924194808,MDK,Elyoya,Sejuani,Loss
112966669924194808,MDK,Fresskowy,Yone,Loss
112966669924194808,MDK,Supa,Kaisa,Loss
112966669924194808,MDK,Alvaro,Nautilus,Loss
112966669924194808,GAM,Kiaya,Aurora,Win
112966669924194808,GAM,Levi,Nocturne,Win
112966669924194808,GAM,Emo,Ahri,Win
112966669924194808,GAM,Easylove,Kalista,Win
112966669924194808,GAM,Elio,Braum,Win
112966669924194802,TL,Impact,Jax,Win
112966669924194802,TL,UmTi,Vi,Win
112966669924194802,TL,APA,Ahri,Win
112966669924194802,TL,Yeon,Kaisa,Win
112966669924194802,TL,CoreJJ,Rell,Win
112966669924194802,PNG,Wizer,Gnar,Loss
112966669924194802,PNG,CarioK,Nocturne,Loss
112966669924194802,PNG,dyNquedo,Orianna,Loss
112966669924194802,PNG,TitaN,Ezreal,Loss
112966669924194802,PNG,Kuri,Alistar,Loss
112966669924194803,PNG,Wizer,Renekton,Loss
112966669924194803,PNG,CarioK,Nocturne,Loss
112966669924194803,PNG,dyNquedo,Orianna,Loss
112966669924194803,PNG,TitaN,Jhin,Loss
112966669924194803,PNG,Kuri,Rell,Loss
112966669924194803,TL,Impact,Gnar,Win
112966669924194803,TL,UmTi,Skarner,Win
112966669924194803,TL,APA,Neeko,Win
112966669924194803,TL,Yeon,Ezreal,Win
112966669924194803,TL,CoreJJ,Leona,Win
112966669924194810,TES,369,KSante,Win
112966669924194810,TES,Tian,XinZhao,Win
112966669924194810,TES,Creme,Aurora,Win
112966669924194810,TES,JackeyLove,Ashe,Win
112966669924194810,TES,Meiko,Braum,Win
112966669924194810,DK,Kingen,Jax,Loss
112966669924194810,DK,Lucid,Skarner,Loss
112966669924194810,DK,ShowMaker,Orianna,Loss
112966669924194810,DK,Aiming,Smolder,Loss
112966669924194810,DK,Moham,Rell,Loss
112966669924194811,DK,Kingen,Jax,Loss
112966669924194811,DK,Lucid,Sejuani,Loss
112966669924194811,DK,ShowMaker,Yone,Loss
112966669924194811,DK,Aiming,MissFortune,Loss
112966669924194811,DK,Moham,Leona,Loss
112966669924194811,TES,369,KSante,Win
112966669924194811,TES,Tian,Skarner,Win
112966669924194811,TES,Creme,Aurora,Win
112966669924194811,TES,JackeyLove,Kalista,Win
112966669924194811,TES,Meiko,Rell,Win
112966669924194818,HLE,Doran,Jax,Win
112966669924194818,HLE,Peanut,Sejuani,Win
112966669924194818,HLE,Zeka,Yone,Win
112966669924194818,HLE,Viper,Kaisa,Win
112966669924194818,HLE,Delight,Rell,Win
112966669924194818,FLY,Bwipo,Urgot,Loss
112966669924194818,FLY,Inspired,Amumu,Loss
112966669924194818,FLY,Quad,Cassiopeia,Loss
112966669924194818,FLY,Massu,Kalista,Loss
112966669924194818,FLY,Busio,Renata,Loss
112966669924194819,HLE,Doran,Renekton,Loss
112966669924194819,HLE,Peanut,Zyra,Loss
112966669924194819,HLE,Zeka,Yasuo,Loss
112966669924194819,HLE,Viper,Ezreal,Loss
112966669924194819,HLE,Delight,Poppy,Loss
112966669924194819,FLY,Bwipo,Olaf,Win
112966669924194819,FLY,Inspired,Nunu,Win
112966669924194819,FLY,Quad,Hwei,Win
112966669924194819,FLY,Massu,Kalista,Win
112966669924194819,FLY,Busio,Leona,Win
112966669924194820,HLE,Doran,Gnar,Win
112966669924194820,HLE,Peanut,Skarner,Win
112966669924194820,HLE,Zeka,Sylas,Win
112966669924194820,HLE,Viper,Xayah,Win
112966669924194820,HLE,Delight,Poppy,Win
112966669924194820,FLY,Bwipo,Sion,Loss
112966669924194820,FLY,Inspired,Vi,Loss
112966669924194820,FLY,Quad,Cassiopeia,Loss
112966669924194820,FLY,Massu,Kaisa,Loss
112966669924194820,FLY,Busio,Rell,Loss
112966669924194814,G2,BrokenBlade,Jax,Loss
112966669924194814,G2,Yike,Nocturne,Loss
112966669924194814,G2,Caps,Orianna,Loss
112966669924194814,G2,Hans Sama,Draven,Loss
112966669924194814,G2,Mikyx,Nautilus,Loss
112966669924194814,T1,Zeus,Gragas,Win
112966669924194814,T1,Oner,Skarner,Win
112966669924194814,T1,Faker,Ahri,Win
112966669924194814,T1,Gumayusi,Jhin,Win
112966669924194814,T1,Keria,Leona,Win
112966669924194815,G2,BrokenBlade,Gnar,Loss
112966669924194815,G2,Yike,Nocturne,Loss
112966669924194815,G2,Caps,Orianna,Loss
112966669924194815,G2,Hans Sama,Kaisa,Loss
112966669924194815,G2,Mikyx,Nautilus,Loss
112966669924194815,T1,Zeus,Jax,Win
112966669924194815,T1,Oner,Vi,Win
112966669924194815,T1,Faker,Ahri,Win
112966669924194815,T1,Gumayusi,Jhin,Win
112966669924194815,T1,Keria,Leona,Win
112966669924194831,PSG,Azhi,Poppy,Loss
112966669924194831,PSG,JunJia,Skarner,Loss
