gameid,team,player,champion,win_loss
112966669924194778,T1,T1 Keria,Renata,Win
112966669924194778,PNG,PNG Wizer,Olaf,Loss
112966669924194778,PNG,PNG CarioK,Sejuani,Loss
112966669924194778,PNG,PNG dyNquedo,Akali,Loss
112966669924194778,PNG,PNG TitaN,Kalista,Loss
112966669924194778,PNG,PNG Kuri,Neeko,Loss
112966669924194772,DK,DK Kingen,Yone,Win
112966669924194772,DK,DK Lucid,Vi,Win
112966669924194772,DK,DK ShowMaker,Sylas,Win
112966669924194772,DK,DK Aiming,Smolder,Win
112966669924194772,DK,DK Moham,Rell,Win
112966669924194772,FLY,FLY Bwipo,Darius,Loss
112966669924194772,FLY,FLY Inspired,Amumu,Loss
112966669924194772,FLY,FLY Quad,Syndra,Loss
112966669924194772,FLY,FLY Massu,Ashe,Loss
112966669924194772,FLY,FLY Busio,Leona,Loss
112966669924194784,FNC,FNC Oscarinin,Gnar,Win
112966669924194784,FNC,FNC Razork,JarvanIV,Win
112966669924194784,FNC,FNC Humanoid,Yone,Win
112966669924194784,FNC,FNC Noah,Ziggs,Win
112966669924194784,FNC,FNC Jun,Leona,Win
112966669924194784,GAM,GAM Kiaya,Jax,Loss
112966669924194784,GAM,GAM Levi,Zyra,Loss
112966669924194784,GAM,GAM Emo,Smolder,Loss
112966669924194784,GAM,GAM Easylove,Kaisa,Loss
112966669924194784,GAM,GAM Elio,Rell,Loss
112966669924194780,PSG,PSG Azhi,Rumble,Win
112966669924194780,PSG,PSG JunJia,Maokai,Win
112966669924194780,PSG,PSG Maple,Yone,Win
112966669924194780,PSG,PSG Betty,Kaisa,Win
112966669924194780,PSG,PSG Woody,Rell,Win
112966669924194780,MDK,MDK Myrwn,Galio,Loss
112966669924194780,MDK,MDK Elyoya,Vi,Loss
112966669924194780,MDK,MDK Fresskowy,Smolder,Loss
112966669924194780,MDK,MDK Supa,Ziggs,Loss
112966669924194780,MDK,MDK Alvaro,Alistar,Loss
112966669924194790,DK,DK Kingen,Olaf,Loss
112966669924194790,DK,DK Lucid,Maokai,Loss
112966669924194790,DK,DK ShowMaker,Smolder,Loss
112966669924194790,DK,DK Aiming,Ziggs,Loss
112966669924194790,DK,DK Moham,Alistar,Loss
112966669924194790,LNG,LNG Zika,Renekton,Win
112966669924194790,LNG,LNG Weiwei,Vi,Win
112966669924194790,LNG,LNG Scout,Sylas,Win
112966669924194790,LNG,LNG GALA,Kaisa,Win
112966669924194790,LNG,LNG Hang,Rell,Win
112966669924194791,DK,DK Kingen,KSante,Loss
112966669924194791,DK,DK Lucid,Vi,Loss
112966669924194791,DK,DK ShowMaker,Ahri,Loss
112966669924194791,DK,DK Aiming,Ziggs,Loss
112966669924194791,DK,DK Moham,Poppy,Loss
112966669924194791,LNG,LNG Zika,Camille,Win
112966669924194791,LNG,LNG Weiwei,Sejuani,Win
112966669924194791,LNG,LNG Scout,Galio,Win
112966669924194791,LNG,LNG GALA,Kaisa,Win
112966669924194791,LNG,LNG Hang,Rell,Win
112966669924194786,HLE,HLE Doran,Gnar,Win
112966669924194786,HLE,HLE Peanut,Sejuani,Win
112966669924194786,HLE,HLE Zeka,Yone,Win
112966669924194786,HLE,HLE Viper,Kaisa,Win
112966669924194786,HLE,HLE Delight,Rell,Win
112966669924194786,GEN,GEN Kiin,Aurora,Loss
112966669924194786,GEN,GEN Canyon,Nocturne,Loss
