gameid,team,player,champion,kills,deaths,assists
ESPORTSTMNT04_1970541,inf,Buggax,Jayce,1,5,0
ESPORTSTMNT04_1970541,inf,Solid,Qiyana,1,4,1
ESPORTSTMNT04_1970541,inf,cody,LeBlanc,1,5,1
ESPORTSTMNT04_1970541,inf,WhiteLotus,Lucian,0,4,1
ESPORTSTMNT04_1970541,inf,Ackerman,Braum,0,3,1
ESPORTSTMNT04_1970541,LNG Esports,,,21,3,25
ESPORTSTMNT04_1970541,inf,,,3,21,4
ESPORTSTMNT04_1970547,PEACE,Vizicsacsi,Kennen,7,1,9
ESPORTSTMNT04_1970547,PEACE,Babip,Nocturne,2,3,12
ESPORTSTMNT04_1970547,PEACE,Tally,Tryndamere,8,1,10
ESPORTSTMNT04_1970547,PEACE,Violet,Lucian,8,4,10
ESPORTSTMNT04_1970547,PEACE,Aladoric,Braum,0,0,19
ESPORTSTMNT04_1970547,RED Canids,Guigo,Gangplank,3,6,2
ESPORTSTMNT04_1970547,RED Canids,Aegis,Graves,4,5,4
ESPORTSTMNT04_1970547,RED Canids,Grevthar,Ryze,1,5,3
ESPORTSTMNT04_1970547,RED Canids,TitaN,Kalista,1,4,3
ESPORTSTMNT04_1970547,RED Canids,JoJo,Leona,0,5,7
ESPORTSTMNT04_1970547,PEACE,,,25,9,60
ESPORTSTMNT04_1970547,RED Canids,,,9,25,19
ESPORTSTMNT04_1970553,DetonatioN FocusMe,Evi,Urgot,10,0,6
ESPORTSTMNT04_1970553,DetonatioN FocusMe,Steal,Lillia,4,0,12
ESPORTSTMNT04_1970553,DetonatioN FocusMe,Aria,Akali,1,1,4
ESPORTSTMNT04_1970553,DetonatioN FocusMe,Yutapon,Miss Fortune,7,1,9
ESPORTSTMNT04_1970553,DetonatioN FocusMe,Gaeng,Leona,0,2,15
ESPORTSTMNT04_1970553,Beyond Gaming,Liang,Aatrox,1,4,1
ESPORTSTMNT04_1970553,Beyond Gaming,Husha,Xin Zhao,0,7,1
ESPORTSTMNT04_1970553,Beyond Gaming,1116,Sylas,2,4,1
ESPORTSTMNT04_1970553,Beyond Gaming,Doggo,Ezreal,1,1,2
ESPORTSTMNT04_1970553,Beyond Gaming,Kino,Amumu,0,6,3
ESPORTSTMNT04_1970553,DetonatioN FocusMe,,,22,4,46
ESPORTSTMNT04_1970553,Beyond Gaming,,,4,22,8
ESPORTSTMNT04_1970564,Cloud9,Fudge,Gangplank,4,4,4
ESPORTSTMNT04_1970564,Cloud9,Blaber,Xin Zhao,1,6,10
ESPORTSTMNT04_1970564,Cloud9,Perkz,LeBlanc,3,4,4
ESPORTSTMNT04_1970564,Cloud9,Zven,Miss Fortune,2,3,4
ESPORTSTMNT04_1970564,Cloud9,Vulcan,Rell,1,2,8
ESPORTSTMNT04_1970564,Unicorns of Love.CIS,BOSS,Camille,6,3,8
ESPORTSTMNT04_1970564,Unicorns of Love.CIS,AHaHaCiK,Lee Sin,3,3,12
ESPORTSTMNT04_1970564,Unicorns of Love.CIS,Nomanz,Sylas,6,4,9
ESPORTSTMNT04_1970564,Unicorns of Love.CIS,MDB,Senna,2,0,16
ESPORTSTMNT04_1970564,Unicorns of Love.CIS,SaNTaS,Sion,2,1,9
ESPORTSTMNT04_1970564,Cloud9,,,11,19,30
ESPORTSTMNT04_1970564,Unicorns of Love.CIS,,,19,11,54
ESPORTSTMNT04_1970572,Unicorns of Love.CIS,BOSS,Jayce,5,6,3
ESPORTSTMNT04_1970572,Unicorns of Love.CIS,AHaHaCiK,Lee Sin,3,4,3
ESPORTSTMNT04_1970572,Unicorns of Love.CIS,Nomanz,Orianna,5,2,4
ESPORTSTMNT04_1970572,Unicorns of Love.CIS,MDB,Senna,1,3,9
ESPORTSTMNT04_1970572,Unicorns of Love.CIS,SaNTaS,Wukong,0,4,7
ESPORTSTMNT04_1970572,Beyond Gaming,Liang,Tahm Kench,4,0,7
ESPORTSTMNT04_1970572,Beyond Gaming,Husha,Xin Zhao,1,3,10
ESPORTSTMNT04_1970572,Beyond Gaming,1116,Ryze,4,4,2
ESPORTSTMNT04_1970572,Beyond Gaming,Doggo,Draven,10,2,4
ESPORTSTMNT04_1970572,Beyond Gaming,Kino,Rakan,0,5,9
ESPORTSTMNT04_1970572,Unicorns of Love.CIS,,,14,19,26
ESPORTSTMNT04_1970572,Beyond Gaming,,,19,14,32
ESPORTSTMNT04_1970577,DetonatioN FocusMe,Evi,Sett,3,4,10
ESPORTSTMNT04_1970577,DetonatioN FocusMe,Steal,Xin Zhao,5,2,8
ESPORTSTMNT04_1970577,DetonatioN FocusMe,Aria,Orianna,6,1,7
ESPORTSTMNT04_1970577,DetonatioN FocusMe,Yutapon,Ezreal,6,2,6
ESPORTSTMNT04_1970577,DetonatioN FocusMe,Gaeng,Leona,0,3,12
ESPORTSTMNT04_1970577,Cloud9,Fudge,Jayce,2,3,8
ESPORTSTMNT04_1970577,Cloud9,Blaber,Olaf,7,4,3
ESPORTSTMNT04_1970577,Cloud9,Perkz,Zoe,0,3,5
ESPORTSTMNT04_1970577,Cloud9,Zven,Miss Fortune,2,4,3
ESPORTSTMNT04_1970577,Cloud9,Vulcan,Amumu,1,6,9
ESPORTSTMNT04_1970577,DetonatioN FocusMe,,,20,12,43
ESPORTSTMNT04_1970577,Cloud9,,,12,20,28
ESPORTSTMNT04_1960519,Galatasaray Esports,Crazy,Kennen,6,3,8
ESPORTSTMNT04_1960519,Galatasaray Esports,Mojito,Talon,4,6,8
ESPORTSTMNT04_1960519,Galatasaray Esports,Bolulu,Zoe,7,1,7
ESPORTSTMNT04_1960519,Galatasaray Esports,Alive,Lucian,4,5,8
ESPORTSTMNT04_1960519,Galatasaray Esports,Zergsting,Braum,1,4,9
ESPORTSTMNT04_1960519,Beyond Gaming,Liang,Irelia,3,8,7
ESPORTSTMNT04_1960519,Beyond Gaming,Husha,Lillia,6,3,6
ESPORTSTMNT04_1960519,Beyond Gaming,1116,Yone,2,4,6
ESPORTSTMNT04_1960519,Beyond Gaming,Doggo,Kai'Sa,7,2,6
ESPORTSTMNT04_1960519,Beyond Gaming,Kino,Leona,1,5,10
ESPORTSTMNT04_1960519,Galatasaray Esports,,,22,19,40
ESPORTSTMNT04_1960519,Beyond Gaming,,,19,22,35
ESPORTSTMNT04_1960531,Galatasaray Esports,Crazy,Gwen,3,3,12
ESPORTSTMNT04_1960531,Galatasaray Esports,Mojito,Lee Sin,6,6,8
ESPORTSTMNT04_1960531,Galatasaray Esports,Bolulu,Twisted Fate,3,4,15
ESPORTSTMNT04_1960531,Galatasaray Esports,Alive,Miss Fortune,10,5,8
ESPORTSTMNT04_1960531,Galatasaray Esports,Zergsting,Leona,1,10,13
ESPORTSTMNT04_1960531,Beyond Gaming,Liang,Jayce,4,4,16
ESPORTSTMNT04_1960531,Beyond Gaming,Husha,Xin Zhao,7,4,12
ESPORTSTMNT04_1960531,Beyond Gaming,1116,Ryze,9,6,11
ESPORTSTMNT04_1960531,Beyond Gaming,Doggo,Lucian,8,4,15
ESPORTSTMNT04_1960531,Beyond Gaming,Kino,Braum,0,5,19
ESPORTSTMNT04_1960531,Galatasaray Esports,,,23,28,56
ESPORTSTMNT04_1960531,Beyond Gaming,,,28,23,73
ESPORTSTMNT04_1960532,Galatasaray Esports,Crazy,Gnar,0,3,3
ESPORTSTMNT04_1960532,Galatasaray Esports,Mojito,Talon,3,5,3
ESPORTSTMNT04_1960532,Galatasaray Esports,Bolulu,Ryze,2,2,2
ESPORTSTMNT04_1960532,Galatasaray Esports,Alive,Ezreal,0,4,1
